Domaine,Thème_canonique_suggéré,Décision,Citation,Tribunal,Juridiction_applicable,Dispositions_codification_ancrage,Principe_ciblé_pour_la_fiche,Mention_Droitis_recommandée,Source_1_decision,Source_2_texte_loi,Source_3_commentaire
Responsabilité civile (C.c.Q.),Responsabilité des ordres professionnels / régulateurs,Finney c. Barreau du Québec,2004 CSC 36,CSC,QC,C.c.Q. art. 1457; C.c.Q. art. 1376 (application à l'État/organismes publics — par analogie),Faute d'un ordre professionnel dans l'exercice de fonctions de protection du public; standard exigeant,Dans la fiche: relier au régime 1457; ajouter note «contexte public/régulateur» et limites (marge d'appréciation).,https://www.canlii.org/en/ca/scc/doc/2004/2004scc36/2004scc36.html,https://www.legisquebec.gouv.qc.ca/fr/version/lc/CCQ-1991?code=se%3A1457,https://cbr.cba.org/index.php/cbr/article/download/4262/4255/4262
Responsabilité civile (C.c.Q.),Responsabilité de l'État / immunités,Hinse c. Canada (Procureur général),2015 CSC 35,CSC,QC/CA-FED,"C.c.Q. art. 1457, 1376",Responsabilité de l'État et faute institutionnelle; analyse des immunités/actes de puissance publique,"Dans la fiche: préciser que le fondement civil (QC) passe par 1457 + 1376, sous réserve d'autres règles; mentionner que le pouvoir de clémence implique une analyse spécifique.",https://www.canlii.org/en/ca/scc/doc/2015/2015scc35/2015scc35.html,https://www.legisquebec.gouv.qc.ca/fr/version/lc/CCQ-1991?code=se%3A1376,https://fondationdubarreau.qc.ca/assets/documents/Vincent-Ranger-Responsabilit%C3%A9-de-l%C3%89tat.pdf
Responsabilité civile (C.c.Q.),Responsabilité municipale (omissions / mesures de sécurité),Montréal (Ville) c. Dorval,2017 CSC 48,CSC,QC,C.c.Q. art. 1457; règles particulières (municipal) selon le cas,Faute et causalité en responsabilité municipale; obligations positives vs discrétion,Dans la fiche: rattacher à 1457 mais rappeler les particularités de la responsabilité municipale (devoir de prudence + contexte de politiques publiques).,https://www.canlii.org/en/ca/scc/doc/2017/2017scc48/2017scc48.html,https://www.legisquebec.gouv.qc.ca/fr/version/lc/CCQ-1991?code=se%3A1457,https://gowlingwlg.com/en/insights-resources/articles/2017/city-of-montreal-v-dorval/
Responsabilité civile (C.c.Q.),Responsabilité municipale (émeute / dommages),Montréal (Ville) c. Lonardi,2017 CSC 29,CSC,QC,C.c.Q. art. 1457; interprétation des régimes spéciaux selon le cas,Responsabilité et partage de responsabilité en contexte de dommages lors d'un évènement public,Dans la fiche: rattacher au régime 1457 et ajouter note sur l'interaction avec régimes spéciaux/partage de responsabilité.,https://www.canlii.org/en/ca/scc/doc/2017/2017scc29/2017scc29.html,https://www.legisquebec.gouv.qc.ca/fr/version/lc/CCQ-1991?code=se%3A1457,https://www.canlii.org/fr/doctrine/doc/2019CanLIIDocs1965
Responsabilité civile (C.c.Q.),Responsabilité municipale (zonage / autorisations),Sibeca inc. c. Municipalité de Frelighsburg,2004 CSC 61,CSC,QC,C.c.Q. art. 1457; droit municipal (régime spécial) selon le cas,Faute d'une municipalité dans l'application de règlements; critères de responsabilité,Dans la fiche: ancrer à 1457 et préciser le filtre 'policymaking vs operational' et la bonne foi administrative si discutée.,https://www.canlii.org/en/ca/scc/doc/2004/2004scc61/2004scc61.html,https://www.legisquebec.gouv.qc.ca/fr/version/lc/CCQ-1991?code=se%3A1457,https://www.canlii.org/fr/doctrine/doc/2019CanLIIDocs1965
Responsabilité civile (C.c.Q.),Vie privée / image,Aubry c. Éditions Vice-Versa inc.,[1998] 1 RCS 591,CSC,QC,C.c.Q. art. 35-36; Charte québécoise art. 5,Atteinte à la vie privée par publication de photo; équilibre avec liberté d'expression,Dans la fiche: bloc «Codification» : 35-36 C.c.Q. + Charte QC (art. 5) — principes appliqués aux médias.,https://decisions.scc-csc.ca/scc-csc/scc-csc/fr/item/1608/index.do,https://www.legisquebec.gouv.qc.ca/fr/version/lc/CCQ-1991?code=se%3A35,https://www.legisquebec.gouv.qc.ca/fr/version/lc/C-12?code=se%3A5
Responsabilité civile (C.c.Q.),Diffamation collective,Bou Malhab c. Diffusion Métromédia CMR inc.,2011 CSC 9,CSC,QC,C.c.Q. art. 1457; C.p.c. art. 575 (recours collectif) (selon le volet),Conditions de la diffamation visant un groupe et preuve du préjudice individuel; interaction avec recours collectif,"Dans la fiche: rattacher à 1457 + rappeler les exigences spécifiques quand la diffamation vise un groupe; si recours collectif, pointer vers CPC 575.",https://www.canlii.org/en/ca/scc/doc/2011/2011scc9/2011scc9.html,https://www.legisquebec.gouv.qc.ca/fr/version/lc/CCQ-1991?code=se%3A1457,https://www.canlii.org/fr/doctrine/doc/2015CanLIIDocs500
Procédure civile / recours collectif,Autorisation du recours collectif,Infineon Technologies AG c. Option consommateurs,2013 CSC 59,CSC,QC (si CPC) / CA (si analogie),C.p.c. art. 575,Autorisation: seuil peu élevé; 'cause défendable',Dans la fiche: toujours ajouter un bloc «Codification» pointant vers l'art. 575 C.p.c. + rappeler l'arrêt comme guide d'interprétation.,https://www.canlii.org/en/ca/scc/doc/2013/2013scc59/2013scc59.html,https://www.legisquebec.gouv.qc.ca/fr/version/lc/C-25.01?code=se%3A575,https://www.registredesactionscollectives.quebec/en/Fichier/Document?NomFichier=7926.pdf
Procédure civile / recours collectif,Autorisation du recours collectif,Vivendi Canada inc. c. Dell'Aniello,2014 CSC 1,CSC,QC (si CPC) / CA (si analogie),C.p.c. art. 575,Autorisation et 'question commune'; approche flexible,Dans la fiche: toujours ajouter un bloc «Codification» pointant vers l'art. 575 C.p.c. + rappeler l'arrêt comme guide d'interprétation.,https://www.canlii.org/en/ca/scc/doc/2014/2014scc1/2014scc1.html,https://www.legisquebec.gouv.qc.ca/fr/version/lc/C-25.01?code=se%3A575,https://www.registredesactionscollectives.quebec/en/Fichier/Document?NomFichier=7926.pdf
Procédure civile / recours collectif,Autorisation du recours collectif,Oratoire Saint-Joseph du Mont-Royal c. J.J.,2020 CSC 17,CSC,QC (si CPC) / CA (si analogie),C.p.c. art. 575; prescription (C.c.Q.) selon le cas,Autorisation et prescription; preuve minimale,Dans la fiche: toujours ajouter un bloc «Codification» pointant vers l'art. 575 C.p.c. + rappeler l'arrêt comme guide d'interprétation.,https://www.canlii.org/en/ca/scc/doc/2020/2020scc17/2020scc17.html,https://www.legisquebec.gouv.qc.ca/fr/version/lc/C-25.01?code=se%3A575,https://www.registredesactionscollectives.quebec/en/Fichier/Document?NomFichier=7926.pdf
Procédure civile / recours collectif,Autorisation du recours collectif,Desjardins Cabinet de services financiers inc. c. Asselin,2020 CSC 30,CSC,QC (si CPC) / CA (si analogie),C.p.c. art. 575,Autorisation: méthode et fardeau de preuve,Dans la fiche: toujours ajouter un bloc «Codification» pointant vers l'art. 575 C.p.c. + rappeler l'arrêt comme guide d'interprétation.,https://www.canlii.org/en/ca/scc/doc/2020/2020scc30/2020scc30.html,https://www.legisquebec.gouv.qc.ca/fr/version/lc/C-25.01?code=se%3A575,https://www.registredesactionscollectives.quebec/en/Fichier/Document?NomFichier=7926.pdf
Procédure civile / recours collectif,Autorisation du recours collectif,Bisaillon c. Université Concordia,2006 CSC 19,CSC,QC (si CPC) / CA (si analogie),C.p.c. art. 575; arbitrage,Recours collectif vs arbitrage; arbitrabilité,Dans la fiche: toujours ajouter un bloc «Codification» pointant vers l'art. 575 C.p.c. + rappeler l'arrêt comme guide d'interprétation.,https://www.canlii.org/en/ca/scc/doc/2006/2006scc19/2006scc19.html,https://www.legisquebec.gouv.qc.ca/fr/version/lc/C-25.01?code=se%3A575,https://www.registredesactionscollectives.quebec/en/Fichier/Document?NomFichier=7926.pdf
Procédure civile / recours collectif,Autorisation du recours collectif,Dell Computer Corp. c. Union des consommateurs,2007 CSC 34,CSC,QC (si CPC) / CA (si analogie),C.p.c. art. 575; LPC art. 11.1,Renvoi à l'arbitrage en contexte de recours collectif,Dans la fiche: toujours ajouter un bloc «Codification» pointant vers l'art. 575 C.p.c. + rappeler l'arrêt comme guide d'interprétation.,https://www.canlii.org/en/ca/scc/doc/2007/2007scc34/2007scc34.html,https://www.legisquebec.gouv.qc.ca/fr/version/lc/C-25.01?code=se%3A575,https://www.registredesactionscollectives.quebec/en/Fichier/Document?NomFichier=7926.pdf
Procédure civile / recours collectif,Autorisation du recours collectif,Ciment du Saint-Laurent inc. c. Barrette,2008 CSC 64,CSC,QC (si CPC) / CA (si analogie),C.p.c. art. 575,Autorisation + gestion; aussi fond du litige en 976,Dans la fiche: toujours ajouter un bloc «Codification» pointant vers l'art. 575 C.p.c. + rappeler l'arrêt comme guide d'interprétation.,https://www.canlii.org/en/ca/scc/doc/2008/2008scc64/2008scc64.html,https://www.legisquebec.gouv.qc.ca/fr/version/lc/C-25.01?code=se%3A575,https://www.registredesactionscollectives.quebec/en/Fichier/Document?NomFichier=7926.pdf
Procédure civile / recours collectif,Autorisation du recours collectif,Banque de Montréal c. Marcotte,2014 CSC 55,CSC,QC (si CPC) / CA (si analogie),C.p.c. art. 575; LPC art. 12/272,Recours collectif et prépondérance fédérale,Dans la fiche: toujours ajouter un bloc «Codification» pointant vers l'art. 575 C.p.c. + rappeler l'arrêt comme guide d'interprétation.,https://www.canlii.org/en/ca/scc/doc/2014/2014scc55/2014scc55.html,https://www.legisquebec.gouv.qc.ca/fr/version/lc/C-25.01?code=se%3A575,https://www.registredesactionscollectives.quebec/en/Fichier/Document?NomFichier=7926.pdf
Procédure civile / recours collectif,Autorisation du recours collectif,Pro-Sys Consultants Ltd. c. Microsoft Corporation,2013 CSC 57,CSC,QC (si CPC) / CA (si analogie),C.p.c. art. 575 (analogie) / règles de preuve,Pass-on defence et preuve; enseigné en recours collectif,Dans la fiche: toujours ajouter un bloc «Codification» pointant vers l'art. 575 C.p.c. + rappeler l'arrêt comme guide d'interprétation.,https://www.canlii.org/en/ca/scc/doc/2013/2013scc57/2013scc57.html,https://www.legisquebec.gouv.qc.ca/fr/version/lc/C-25.01?code=se%3A575,https://www.registredesactionscollectives.quebec/en/Fichier/Document?NomFichier=7926.pdf
Procédure civile / recours collectif,Autorisation du recours collectif,Pioneer Corp. c. Godfrey,2019 CSC 42,CSC,QC (si CPC) / CA (si analogie),C.p.c. art. 575 (analogie) / droit de la concurrence,Actions collectives concurrence; causes d'action,Dans la fiche: toujours ajouter un bloc «Codification» pointant vers l'art. 575 C.p.c. + rappeler l'arrêt comme guide d'interprétation.,https://www.canlii.org/en/ca/scc/doc/2019/2019scc42/2019scc42.html,https://www.legisquebec.gouv.qc.ca/fr/version/lc/C-25.01?code=se%3A575,https://www.registredesactionscollectives.quebec/en/Fichier/Document?NomFichier=7926.pdf
Droit constitutionnel / Chartes,Charte canadienne / principes constitutionnels,R. v. Oakes,[1986] 1 RCS 103,CSC,CA-FED (et QC si Charte QC),Charte canadienne art. 1,Test de justification (Oakes),Dans la fiche: ajouter un encadré «Dispositions clés» (section(s) de la Charte/Constitution) + «Test» (Oakes/Jordan/Grant etc.).,https://decisions.scc-csc.ca/scc-csc/scc-csc/en/item/117/index.do,https://laws-lois.justice.gc.ca/eng/const/page-15.html,https://www.constitutionalstudies.ca/2019/07/oakes-test/
Droit constitutionnel / Chartes,Charte canadienne / principes constitutionnels,Ford c. Québec (Procureur général),[1988] 2 RCS 712,CSC,CA-FED (et QC si Charte QC),Charte canadienne art. 2b; art. 1; Charte QC (selon le cas),Liberté d'expression et langue; analyse art. 1,Dans la fiche: ajouter un encadré «Dispositions clés» (section(s) de la Charte/Constitution) + «Test» (Oakes/Jordan/Grant etc.).,https://decisions.scc-csc.ca/scc-csc/scc-csc/fr/item/233/index.do,https://laws-lois.justice.gc.ca/eng/const/page-15.html,https://www.constitutionalstudies.ca/2019/07/oakes-test/
Droit constitutionnel / Chartes,Charte canadienne / principes constitutionnels,Renvoi relatif à la sécession du Québec,[1998] 2 RCS 217,CSC,CA-FED (et QC si Charte QC),Loi constitutionnelle 1867/1982 (principes non écrits),Principes constitutionnels et obligation de négocier,Dans la fiche: ajouter un encadré «Dispositions clés» (section(s) de la Charte/Constitution) + «Test» (Oakes/Jordan/Grant etc.).,https://decisions.scc-csc.ca/scc-csc/scc-csc/en/item/1643/index.do,https://laws-lois.justice.gc.ca/eng/const/page-15.html,https://engage.ottawa.ca/vulnerable-social-infrastructure-by-law-review/news_feed/what-is-the-oakes-test
Droit constitutionnel / Chartes,Charte canadienne / principes constitutionnels,R. c. Sparrow,[1990] 1 RCS 1075,CSC,CA-FED (et QC si Charte QC),Loi constitutionnelle de 1982 art. 35,Test Sparrow pour atteinte justifiée aux droits ancestraux,Dans la fiche: ajouter un encadré «Dispositions clés» (section(s) de la Charte/Constitution) + «Test» (Oakes/Jordan/Grant etc.).,https://decisions.scc-csc.ca/scc-csc/scc-csc/en/item/609/index.do,https://laws-lois.justice.gc.ca/eng/const/page-15.html,https://www.justice.gc.ca/eng/csj-sjc/rfc-dlc/ccrf-ccdl/check/art35.html
Droit constitutionnel / Chartes,Charte canadienne / principes constitutionnels,Vriend c. Alberta,[1998] 1 RCS 493,CSC,CA-FED (et QC si Charte QC),Charte canadienne art. 15,Égalité — inclusion des motifs analogues,Dans la fiche: ajouter un encadré «Dispositions clés» (section(s) de la Charte/Constitution) + «Test» (Oakes/Jordan/Grant etc.).,https://decisions.scc-csc.ca/scc-csc/scc-csc/en/item/1651/index.do,https://laws-lois.justice.gc.ca/eng/const/page-15.html,https://www.justice.gc.ca/eng/csj-sjc/rfc-dlc/ccrf-ccdl/check/art15.html
Droit constitutionnel / Chartes,Charte canadienne / principes constitutionnels,Québec (Procureur général) c. A,2013 CSC 5,CSC,CA-FED (et QC si Charte QC),Charte canadienne art. 15; (droit de la famille QC en toile de fond),Égalité et conjoints de fait,Dans la fiche: ajouter un encadré «Dispositions clés» (section(s) de la Charte/Constitution) + «Test» (Oakes/Jordan/Grant etc.).,https://www.canlii.org/en/ca/scc/doc/2013/2013scc5/2013scc5.html,https://laws-lois.justice.gc.ca/eng/const/page-15.html,https://www.justice.gc.ca/eng/csj-sjc/rfc-dlc/ccrf-ccdl/check/art15.html
Droit constitutionnel / Chartes,Charte canadienne / principes constitutionnels,Canada (Procureur général) c. Bedford,2013 CSC 72,CSC,CA-FED (et QC si Charte QC),Charte canadienne art. 7,"Vie, liberté, sécurité; arbitraire / disproportion / surdétermination",Dans la fiche: ajouter un encadré «Dispositions clés» (section(s) de la Charte/Constitution) + «Test» (Oakes/Jordan/Grant etc.).,https://www.canlii.org/en/ca/scc/doc/2013/2013scc72/2013scc72.html,https://laws-lois.justice.gc.ca/eng/const/page-15.html,https://www.justice.gc.ca/eng/csj-sjc/rfc-dlc/ccrf-ccdl/check/art7.html
Droit constitutionnel / Chartes,Charte canadienne / principes constitutionnels,Carter c. Canada (Procureur général),2015 CSC 5,CSC,CA-FED (et QC si Charte QC),Charte canadienne art. 7; art. 1,Aide médicale à mourir — art. 7 et justification,Dans la fiche: ajouter un encadré «Dispositions clés» (section(s) de la Charte/Constitution) + «Test» (Oakes/Jordan/Grant etc.).,https://www.canlii.org/en/ca/scc/doc/2015/2015scc5/2015scc5.html,https://laws-lois.justice.gc.ca/eng/const/page-15.html,https://www.justice.gc.ca/eng/csj-sjc/rfc-dlc/ccrf-ccdl/check/art7.html
Droit constitutionnel / Chartes,Charte canadienne / principes constitutionnels,R. c. Grant,2009 CSC 32,CSC,CA-FED (et QC si Charte QC),Charte canadienne art. 24(2),Exclusion de la preuve — nouveau cadre,Dans la fiche: ajouter un encadré «Dispositions clés» (section(s) de la Charte/Constitution) + «Test» (Oakes/Jordan/Grant etc.).,https://www.canlii.org/en/ca/scc/doc/2009/2009scc32/2009scc32.html,https://laws-lois.justice.gc.ca/eng/const/page-15.html,https://www.justice.gc.ca/eng/csj-sjc/rfc-dlc/ccrf-ccdl/check/art24_2.html
Droit constitutionnel / Chartes,Charte canadienne / principes constitutionnels,R. c. Jordan,2016 CSC 27,CSC,CA-FED (et QC si Charte QC),Charte canadienne art. 11b,Délais déraisonnables — plafonds Jordan,Dans la fiche: ajouter un encadré «Dispositions clés» (section(s) de la Charte/Constitution) + «Test» (Oakes/Jordan/Grant etc.).,https://www.canlii.org/en/ca/scc/doc/2016/2016scc27/2016scc27.html,https://laws-lois.justice.gc.ca/eng/const/page-15.html,https://www.justice.gc.ca/eng/csj-sjc/rfc-dlc/ccrf-ccdl/check/art11b.html
Biens — Publicité des droits & prescription acquisitive,"Prescription acquisitive, registre foncier et priorité des droits (C.c.Q. art. 2918, 2938, 2946, 2963)",Ostiguy c. Allie,2017 CSC 22,CSC,QC,"C.c.Q. art. 2918, 2938, 2946, 2963 (et ss.)","Effet du jugement en prescription acquisitive (déclaratif), articulation avec la publicité des droits et protection de l’acquéreur de bonne foi (priorité au premier publié).","Si le client demande *Ostiguy*, ajouter : (1) jugement en prescription acquisitive = effet déclaratif (C.c.Q. 2918), mais (2) ne prime pas un droit publié antérieurement par un tiers de bonne foi (C.c.Q. 2946), avec présomptions liées à la publicité (C.c.Q. 2963).",https://www.canlii.org/fr/ca/csc/doc/2017/2017csc22/2017csc22.html,https://www.legisquebec.gouv.qc.ca/fr/version/lc/ccq-1991?code=se%3A2946&historique=20250819,https://blogue.soquij.qc.ca/2017/05/03/prescription-acquisitive-publicite-des-droits-relation-delicate/
Biens — Publicité des droits & prescription acquisitive,"Prescription acquisitive, registre foncier et priorité des droits (C.c.Q. art. 2918, 2938, 2946, 2963)",Dupuy c. Gauthier,2013 QCCA 774,QCCA,QC,"C.c.Q. art. 2918, 2938, 2946, 2963",Conflit entre prescription acquisitive et droits publiés — conditions de protection du tiers de bonne foi.,Si *Dupuy* est cité : relier la solution au couple (prescription/effet déclaratif) + (priorité/publicité) : C.c.Q. 2918 + 2946 + présomption C.c.Q. 2963.,https://www.canlii.org/fr/qc/qcca/doc/2013/2013qcca774/2013qcca774.html,https://www.legisquebec.gouv.qc.ca/fr/version/lc/ccq-1991?code=se%3A2963&historique=20250819,https://www.canlii.org/en/commentary/doc/2016CanLIIDocs4345
Biens — Publicité des droits & prescription acquisitive,"Prescription acquisitive, registre foncier et priorité des droits (C.c.Q. art. 2918, 2938, 2946, 2963)",Craig c. Béton Chevalier inc.,2012 QCCS 2888,QCCS,QC,C.c.Q. art. 2918 et suiv. (prescription acquisitive); art. 2938 (publicité),Demande en jugement de prescription acquisitive («requête»/demande) et exigences de preuve/publicité.,"Quand *Craig* est demandé : rappeler que le jugement «constate» un droit acquis par prescription (C.c.Q. 2918), mais que la publicité demeure centrale (C.c.Q. 2938 et présomptions 2963).",https://www.canlii.org/fr/qc/qccs/doc/2012/2012qccs2888/2012qccs2888.html,https://www.legisquebec.gouv.qc.ca/fr/version/lc/ccq-1991?code=se%3A2918&historique=20250819,https://www.canlii.org/en/commentary/doc/2016CanLIIDocs4345
